 ,0,900,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900,10800,11700,12600,13500,14400,15300,16200,17100,18000,18900,19800,20700,21600,22500,23400,24300,25200,26100,27000,27900,28800,29700,30600,31500,32400,33300,34200,35100,36000,36900,37800,38700,39600,40500,41400,42300,43200,44100,45000,45900,46800,47700,48600,49500,50400,51300,52200,53100,54000,54900,55800,56700,57600,58500,59400,60300,61200,62100,63000,63900,64800,65700,66600,67500,68400,69300,70200,71100,72000,72900,73800,74700,75600,76500,77400,78300,79200,80100,81000,81900,82800,83700,84600,85500,86400
J-286,0.439544,0.446542,0.453107,0.459294,0.465234,0.470793,0.476062,0.481253,0.487536,0.493631,0.499508,0.505172,0.510649,0.515923,0.521008,0.525906,0.530719,0.535296,0.539698,0.387689,0.471895,0.475149,0.408494,0.408463,0.47418,0.473177,0.472915,0.473249,0.295166,0.291582,0.313865,0.339471,0.464104,0.48335,0.50212,0.520129,0.569757,0.585346,0.600328,0.614713,0.641857,0.654965,0.667645,0.679937,0.691844,0.703407,0.714636,0.725573,0.729783,0.740351,0.750598,0.760601,0.754182,0.763775,0.773113,0.78226,0.785132,0.793993,0.802711,0.811313,0.819826,0.828276,0.836691,-0.406485,-1.04198,-1.51934,-0.698008,-0.577443,-0.471534,-0.38449,-0.309639,-0.244128,-0.155749,-0.10575,-0.0660263,-0.0339614,0.0326665,0.0546974,0.0746914,0.0921653,0.118753,0.132734,0.14578,0.157828,0.150401,0.161102,0.171462,0.181564,-0.0093906,0.000868927,0.0107177,0.0200878,-0.101521,-0.0907366,0.248176,0.218154,0.155728
J-287,0.411134,0.418302,0.425046,0.431423,0.437571,0.443324,0.448802,0.453999,0.460416,0.466641,0.472646,0.478463,0.484055,0.489462,0.494678,0.499718,0.504641,0.509344,0.513893,0.386902,0.469731,0.472993,0.406576,0.406513,0.470506,0.469501,0.469266,0.469605,0.287097,0.283522,0.305791,0.331383,0.453322,0.472559,0.491325,0.509337,0.558091,0.573667,0.588649,0.60304,0.629818,0.64292,0.655608,0.667892,0.679804,0.691364,0.702586,0.713516,0.717922,0.72847,0.738728,0.748725,0.74275,0.752334,0.761674,0.770823,0.773868,0.782715,0.791431,0.800031,0.808542,0.81699,0.825404,-0.412635,-1.05248,-1.52725,-0.709378,-0.588953,-0.483855,-0.396869,-0.32204,-0.256553,-0.169436,-0.119491,-0.0798143,-0.0477863,0.0173879,0.0394119,0.0593667,0.076847,0.103035,0.117015,0.130047,0.142088,0.135303,0.146003,0.156363,0.16645,-0.0178407,-0.00758819,0.00226254,0.0116353,-0.105117,-0.0943071,0.244989,0.21504,0.153212
J-288,6.77587,6.77457,6.7723,6.76922,6.7635,6.75964,6.75516,6.78737,6.80131,6.81648,6.83071,6.84404,6.8565,6.86814,6.87898,6.88905,6.90003,6.9082,6.91574,5.88696,6.03617,6.07414,6.79195,6.82222,7.10105,7.12532,7.14887,7.17154,7.36739,7.35217,7.36053,7.37318,7.7525,7.75634,7.76087,7.76571,7.88927,7.89128,7.89351,7.89585,7.94667,7.94788,7.94917,7.95051,7.95185,7.95315,7.95442,7.95563,7.93306,7.9348,7.93636,7.93776,7.8781,7.88063,7.88286,7.88482,7.8636,7.86572,7.8676,7.86929,7.87086,7.8723,7.87366,6.62455,6.09465,5.64771,6.54852,6.6827,6.87874,6.97539,7.05922,7.13259,7.35308,7.40808,7.45313,7.49071,7.70663,7.73033,7.75265,7.77287,7.84101,7.85732,7.87299,7.88797,7.82124,7.83715,7.85253,7.86753,7.01606,7.04565,7.07343,7.0995,6.56642,6.59983,6.87381,6.83594,6.59871
J-289,1.41085,1.41434,1.417,1.41888,1.43104,1.4316,1.43151,1.43657,1.44529,1.44833,1.45112,1.45364,1.45587,1.45783,1.45952,1.46095,1.45523,1.45604,1.45662,0.795309,0.974273,0.980905,0.969846,0.972563,1.08011,1.0817,1.08381,1.08642,1.00349,0.999615,1.0205,1.04448,1.22703,1.24468,1.26195,1.27862,1.34655,1.36081,1.37456,1.3878,1.42189,1.43389,1.44554,1.45683,1.46779,1.47842,1.48877,1.49884,1.49829,1.50807,1.51758,1.52683,1.50947,1.51846,1.52721,1.53574,1.53418,1.54248,1.55063,1.55866,1.56659,1.57447,1.5823,0.272406,-0.316866,-0.807537,0.0653013,0.188888,0.313417,0.402249,0.47853,0.545013,0.661589,0.712879,0.753723,0.786766,0.88564,0.908153,0.928645,0.946508,0.981974,0.996299,1.00963,1.02198,1.00096,1.01219,1.02305,1.03361,0.696,0.708044,0.719536,0.730382,0.517858,0.530701,0.858616,0.827239,0.729637
J-29,0.189442,0.200564,0.211117,0.221117,0.233149,0.2422,0.250801,0.265615,0.27985,0.292018,0.303437,0.314149,0.324226,0.333691,0.342601,0.351002,0.35749,0.365003,0.372121,0.536666,0.534817,0.536752,0.364844,0.364576,0.404311,0.403586,0.403386,0.403912,0.198917,0.19565,0.218405,0.244126,0.348679,0.367942,0.386728,0.404766,0.447586,0.463204,0.478244,0.492682,0.517063,0.53024,0.543016,0.555368,0.567378,0.579025,0.590334,0.60135,0.60708,0.61773,0.628063,0.638159,0.635437,0.645086,0.654502,0.663729,0.668044,0.676975,0.685777,0.69447,0.703075,0.711638,0.720144,-0.694725,-1.11363,-1.77875,-0.850811,-0.72321,-0.618361,-0.527904,-0.450179,-0.383432,-0.301642,-0.249208,-0.207603,-0.174084,-0.117711,-0.0947625,-0.0739571,-0.0560236,-0.0322047,-0.0178112,-0.00453442,0.00772895,0.00544843,0.0163188,0.0268144,0.0370289,-0.1051,-0.094554,-0.0844861,-0.0751124,-0.157134,-0.145905,0.191437,0.160359,0.121522
J-290,2.1992,2.20806,2.21598,2.22305,2.21077,2.21647,2.22144,2.23193,2.2307,2.23903,2.24706,2.25478,2.26217,2.26924,2.276,2.28244,2.30013,2.3058,2.31118,1.79367,1.99595,2.01004,2.11884,2.12757,2.29279,2.29954,2.30648,2.31364,2.34269,2.33688,2.35504,2.37641,2.63512,2.64969,2.66415,2.67818,2.76956,2.78115,2.7924,2.80329,2.84575,2.85543,2.86485,2.87402,2.88292,2.89157,2.89998,2.90818,2.90058,2.90866,2.91649,2.92409,2.89166,2.8993,2.90667,2.91384,2.90584,2.91284,2.91968,2.92639,2.93301,2.93955,2.94603,1.58316,1.06111,0.541422,1.46468,1.59279,1.74409,1.83571,1.9147,1.98296,2.13922,2.19217,2.23458,2.26911,2.41341,2.4365,2.45767,2.4762,2.52427,2.53916,2.55307,2.56607,2.52633,2.53861,2.55048,2.56204,2.02591,2.04185,2.05696,2.0711,1.73923,1.75662,2.07104,2.03823,1.89311
J-291,0.394905,0.397528,0.400579,0.404017,0.404659,0.408648,0.412738,0.255367,0.273415,0.2908,0.306392,0.320293,0.332626,0.343533,0.353095,0.361474,0.370694,0.377173,0.382727,0.347107,0.355002,0.354377,0.364097,0.367459,0.365042,0.368493,0.37222,0.376438,0.100749,0.0989139,0.119039,0.142323,0.210777,0.228653,0.246378,0.263573,0.29391,0.308982,0.323554,0.337603,0.35668,0.369598,0.382142,0.394316,0.406139,0.417642,0.428832,0.439752,0.44769,0.4581,0.468276,0.478244,0.481172,0.490899,0.50037,0.509648,0.516228,0.525245,0.534108,0.542873,0.55155,0.560171,0.56874,0.577277,-1.85615,-2.70011,-1.01218,-0.890724,-0.800374,-0.708532,-0.627391,-0.558662,-0.50396,-0.450051,-0.40725,-0.372787,-0.338122,-0.313827,-0.292364,-0.274184,-0.254375,-0.239824,-0.226601,-0.21443,-0.209569,-0.198896,-0.188522,-0.178393,-0.196466,-0.187453,-0.177438,-0.167273,-0.132345,-0.122065,0.145612,0.0990611,0.0697717
J-292,0.383895,0.386773,0.390057,0.393704,0.394698,0.398877,0.403158,0.250136,0.268188,0.285469,0.300986,0.314843,0.327162,0.338059,0.347636,0.356034,0.365123,0.371655,0.377275,0.344613,0.352508,0.351837,0.361048,0.364462,0.36221,0.365658,0.369382,0.373561,0.0955,0.094012,0.114326,0.137708,0.204399,0.222317,0.240073,0.257284,0.28713,0.302213,0.31679,0.330859,0.349742,0.362673,0.375217,0.387398,0.399229,0.410734,0.421938,0.432855,0.440898,0.451318,0.461486,0.471458,0.474649,0.48437,0.493842,0.503121,0.509798,0.518804,0.527674,0.536433,0.545111,0.553725,0.562295,0.570838,-1.85744,-2.70064,-1.01504,-0.893637,-0.803486,-0.711681,-0.630578,-0.561872,-0.50702,-0.453124,-0.410318,-0.375869,-0.340924,-0.316604,-0.295118,-0.276929,-0.257427,-0.242852,-0.229603,-0.217422,-0.212248,-0.201581,-0.191202,-0.181074,-0.199094,-0.190127,-0.180151,-0.170015,-0.134971,-0.124703,0.142994,0.0960002,0.0662884
J-293,0.367532,0.368829,0.370438,0.372332,0.373244,0.375618,0.37816,0.269577,0.285018,0.299096,0.311654,0.322853,0.332811,0.341636,0.34945,0.356354,0.362666,0.368771,0.37412,0.366668,0.369425,0.369862,0.250161,0.252159,0.273674,0.276147,0.279047,0.282629,0.0783884,0.0786809,0.100436,0.124484,0.189994,0.208354,0.226324,0.243602,0.273472,0.288639,0.303305,0.317452,0.336481,0.349487,0.362118,0.374384,0.386305,0.397894,0.409185,0.420196,0.428459,0.439163,0.44957,0.459735,0.463859,0.473512,0.48294,0.492188,0.499076,0.508033,0.516865,0.525613,0.534294,0.542921,0.551515,0.560086,-1.13936,-1.93087,-1.08268,-0.942274,-0.838624,-0.743388,-0.661508,-0.592505,-0.522374,-0.467077,-0.423274,-0.38807,-0.348824,-0.324989,-0.303362,-0.284852,-0.265655,-0.250821,-0.237218,-0.224679,-0.218398,-0.207317,-0.196621,-0.186237,-0.24046,-0.229512,-0.219143,-0.209604,-0.242558,-0.231092,0.114557,0.0802889,0.056378
J-294,0.319322,0.321439,0.323843,0.326477,0.328366,0.331419,0.334615,0.231615,0.246641,0.260332,0.272589,0.28357,0.293376,0.302128,0.309913,0.316849,0.323084,0.32928,0.334746,0.333075,0.336027,0.337161,0.249589,0.251684,0.273513,0.275736,0.278464,0.281913,0.0639677,0.0637232,0.0855186,0.109719,0.171191,0.189654,0.207691,0.225029,0.253596,0.268799,0.283479,0.297639,0.316119,0.329118,0.341736,0.353984,0.365891,0.377457,0.388723,0.399701,0.408188,0.418868,0.429243,0.439369,0.444157,0.453774,0.463168,0.472381,0.479491,0.488412,0.497213,0.505906,0.514538,0.523115,0.531655,-0.790167,-1.06727,-1.89377,-1.09309,-0.95656,-0.855855,-0.761678,-0.68101,-0.612058,-0.544543,-0.490166,-0.447088,-0.412455,-0.375718,-0.352246,-0.330935,-0.312596,-0.294098,-0.279428,-0.265912,-0.253448,-0.246272,-0.235273,-0.224648,-0.214331,-0.257743,-0.247008,-0.236827,-0.227421,-0.251826,-0.240548,0.10838,0.0751468,0.0517737
J-295,1.12262,1.14195,1.16099,1.17966,1.07868,1.0968,1.11457,1.13205,1.08687,1.10382,1.12048,1.13688,1.15299,1.16885,1.18445,1.19981,1.29043,1.30521,1.31978,1.48206,1.87194,1.88021,1.89443,1.89859,2.20808,2.21033,2.21322,2.21647,2.55781,2.55308,2.573,2.59632,3.09003,3.10692,3.1235,3.13948,3.31081,3.32435,3.33741,3.34998,3.42624,3.43757,3.44856,3.45922,3.46956,3.47959,3.48936,3.49885,3.47681,3.48605,3.49504,3.50378,3.43233,3.44088,3.44919,3.45728,3.43523,3.4431,3.45082,3.45842,3.46592,3.47335,3.48073,2.30065,1.55939,1.25825,2.04677,2.16503,2.37989,2.46562,2.53956,2.60433,2.87056,2.91977,2.95904,2.99088,3.27027,3.29188,3.31159,3.32895,3.41353,3.42741,3.44043,3.45252,3.35092,3.36204,3.3728,3.38328,2.24271,2.25536,2.26743,2.27887,1.59085,1.60457,1.92353,1.89425,1.61654
J-296,1.24267,1.24509,1.24684,1.24783,1.26612,1.26579,1.26482,1.26898,1.28044,1.2826,1.28453,1.28617,1.28755,1.28867,1.28952,1.2901,1.27915,1.27916,1.27892,0.61394,0.798695,0.804016,0.772762,0.774359,0.868369,0.868809,0.869911,0.871537,0.757282,0.753504,0.77486,0.799451,0.963676,0.981927,0.999793,1.01697,1.07911,1.09388,1.10811,1.12178,1.15369,1.16611,1.17816,1.18983,1.20114,1.21212,1.22281,1.2332,1.23423,1.24431,1.25408,1.26363,1.24985,1.25907,1.26803,1.27681,1.2767,1.28521,1.29355,1.3018,1.30996,1.31804,1.32608,0.0766536,-0.566833,-1.01955,-0.190087,-0.0689854,0.0485412,0.13597,0.211123,0.276901,0.38369,0.43398,0.474002,0.50638,0.594439,0.616578,0.636696,0.654311,0.686751,0.700862,0.714034,0.726225,0.70964,0.720621,0.731248,0.741602,0.451146,0.462416,0.473205,0.483443,0.299383,0.311359,0.643567,0.613256,0.526226
J-297,0.461757,0.460014,0.458606,0.457542,0.456717,0.456239,0.456037,0.382379,0.394227,0.404546,0.413689,0.421795,0.429014,0.435401,0.441046,0.446051,0.450477,0.454954,0.458925,0.452865,0.455544,0.454487,0.324515,0.330025,0.37473,0.37713,0.380944,0.384974,0.231985,0.230841,0.251617,0.274707,0.373238,0.39077,0.408001,0.42465,0.465453,0.480042,0.494192,0.507878,0.531299,0.543895,0.556159,0.568094,0.579723,0.591042,0.602103,0.612895,0.618562,0.629109,0.639384,0.649422,0.647141,0.656777,0.666196,0.675432,0.67994,0.688913,0.697754,0.706504,0.715181,0.723806,0.73239,0.740939,-1.15158,-1.83752,-0.861711,-0.724926,-0.61567,-0.52325,-0.443379,-0.376543,-0.293105,-0.239128,-0.196271,-0.161756,-0.105037,-0.081759,-0.0606069,-0.0424802,-0.0186098,-0.00404713,0.00931444,0.0216794,0.0196817,0.0308302,0.0415752,0.0520174,-0.0853034,-0.0731292,-0.0618713,-0.051748,-0.143306,-0.130282,0.210612,0.180242,0.130204
J-298,0.473638,0.471462,0.469633,0.46816,0.46674,0.465914,0.465367,0.391837,0.403192,0.41361,0.422798,0.430935,0.43814,0.444512,0.450122,0.45507,0.459449,0.463807,0.467628,0.460473,0.461251,0.459733,0.320947,0.32525,0.36443,0.3667,0.370237,0.374037,0.215467,0.214115,0.235121,0.258532,0.355615,0.373327,0.390727,0.407514,0.447876,0.46258,0.476827,0.490588,0.513827,0.526482,0.538798,0.550777,0.562441,0.573798,0.584878,0.595688,0.601499,0.612053,0.622328,0.632363,0.630431,0.640067,0.649476,0.6587,0.663318,0.672273,0.681106,0.689832,0.698491,0.707087,0.715638,0.724171,-1.05954,-1.80119,-0.877557,-0.743319,-0.63506,-0.542946,-0.46362,-0.396648,-0.314034,-0.260468,-0.217965,-0.183728,-0.128007,-0.104891,-0.0838739,-0.0658126,-0.0422396,-0.0277545,-0.0144238,-0.0020907,-0.00369973,0.0073728,0.0180557,0.0284299,-0.105289,-0.0934558,-0.0824522,-0.0725071,-0.160223,-0.147622,0.197854,0.168236,0.120429
J-299,0.508106,0.505802,0.503871,0.502292,0.500789,0.499883,0.499271,0.426364,0.437861,0.448394,0.457705,0.465942,0.47324,0.479684,0.485362,0.490369,0.494767,0.499159,0.503043,0.496267,0.497273,0.495889,0.357088,0.361603,0.402699,0.40492,0.408548,0.412459,0.255737,0.254536,0.275403,0.298613,0.395516,0.413051,0.430283,0.44692,0.487087,0.501658,0.515778,0.529429,0.552538,0.565098,0.577322,0.589213,0.600789,0.612074,0.623071,0.633818,0.639574,0.65007,0.660278,0.670263,0.668266,0.67786,0.687224,0.696412,0.700981,0.709911,0.718701,0.7274,0.736028,0.744595,0.753129,0.761628,-1.12927,-1.81796,-0.843964,-0.706827,-0.597759,-0.504952,-0.424779,-0.357647,-0.27502,-0.220825,-0.177802,-0.143148,-0.0875992,-0.0642196,-0.0429692,-0.0247607,-0.00119086,0.0134366,0.026861,0.0392873,0.0379259,0.0491221,0.0599088,0.0703934,-0.0620491,-0.0498198,-0.0384781,-0.0282312,-0.116395,-0.103485,0.239764,0.209169,0.161372
J-3,0.114188,0.125522,0.136087,0.146138,0.155158,0.164229,0.172888,0.101002,0.105961,0.110551,0.114777,0.11875,0.12259,0.126326,0.12995,0.13382,0.138522,0.143443,0.148371,0.153507,0.158684,0.163696,0.175604,0.192756,0.199733,0.208717,0.216393,0.224143,0.0528399,0.0743749,0.0930487,0.108092,0.131229,0.14522,0.158397,0.170968,0.18542,0.197239,0.20856,0.219483,0.231032,0.241531,0.25177,0.261793,0.271615,0.281284,0.290823,0.300239,0.309189,0.318416,0.327577,0.336661,0.345125,0.353713,0.362289,0.370888,0.379269,0.387746,0.396245,0.404781,0.413345,0.421947,0.430568,0.439227,-2.13787,-2.51372,-0.39612,-0.382153,-0.433332,-0.456144,-0.456022,-0.451674,-0.444438,-0.432849,-0.421472,-0.410338,-0.401822,-0.391641,-0.380812,-0.370428,-0.360469,-0.35001,-0.34002,-0.330297,-0.32009,-0.310648,-0.301229,-0.29185,-0.270801,-0.254786,-0.241612,-0.23027,-0.210346,-0.197958,-0.00889808,0.00418628,-0.0225336
J-30,0.227494,0.233624,0.23972,0.24578,0.252726,0.258699,0.264645,0.25887,0.268579,0.277436,0.285778,0.293668,0.30113,0.308194,0.314875,0.321223,0.326858,0.332728,0.338328,0.401956,0.404258,0.406203,0.32773,0.327921,0.363629,0.363723,0.36426,0.365554,0.142941,0.140494,0.162958,0.188189,0.269791,0.288775,0.307301,0.32509,0.360413,0.375878,0.390764,0.405095,0.426381,0.439479,0.452168,0.464479,0.476413,0.488011,0.499287,0.510272,0.517414,0.528037,0.538368,0.548438,0.549419,0.559061,0.568466,0.577676,0.583382,0.592303,0.601097,0.609786,0.618405,0.626958,0.635475,-0.827437,-1.18052,-1.90763,-0.95027,-0.819716,-0.719698,-0.627798,-0.548723,-0.481305,-0.409292,-0.355925,-0.313584,-0.279502,-0.235498,-0.212203,-0.191096,-0.172954,-0.15246,-0.137903,-0.124503,-0.112142,-0.108711,-0.0977458,-0.0871586,-0.0768613,-0.160579,-0.149824,-0.139574,-0.130054,-0.18403,-0.172731,0.163772,0.132798,0.0991994
J-300,0.466734,0.464792,0.463239,0.462009,0.460324,0.459742,0.459442,0.38538,0.396638,0.407234,0.416593,0.424909,0.432281,0.438816,0.444568,0.449656,0.454456,0.458933,0.46287,0.456716,0.45803,0.456602,0.312814,0.316767,0.354836,0.356992,0.360381,0.36403,0.204091,0.202901,0.224138,0.247754,0.342923,0.360864,0.378449,0.395403,0.435052,0.449891,0.464244,0.478099,0.501064,0.513806,0.526189,0.53823,0.549943,0.561345,0.572462,0.58331,0.589325,0.599908,0.610198,0.620248,0.618803,0.628433,0.637841,0.647056,0.651853,0.660801,0.669626,0.678358,0.687008,0.695601,0.704164,0.712693,-1.07342,-1.81387,-0.890223,-0.756214,-0.648757,-0.556766,-0.477516,-0.410627,-0.329036,-0.275444,-0.232915,-0.198665,-0.144108,-0.120919,-0.0998497,-0.0817543,-0.0584834,-0.0439557,-0.0305964,-0.0182424,-0.0193215,-0.00826065,0.00240882,0.0127749,-0.115552,-0.103973,-0.0931762,-0.0833984,-0.169529,-0.157066,0.188768,0.15918,0.112067
J-301,0.521025,0.518082,0.515514,0.513321,0.510714,0.509238,0.508064,0.435542,0.44659,0.456953,0.466113,0.474208,0.481365,0.487666,0.493208,0.498059,0.502615,0.506855,0.510545,0.501012,0.501679,0.499601,0.328282,0.332235,0.367655,0.369921,0.373362,0.377093,0.220046,0.218443,0.239771,0.263621,0.361494,0.379588,0.397298,0.414355,0.45477,0.469667,0.484053,0.497939,0.521148,0.533901,0.546275,0.558296,0.569976,0.581352,0.592425,0.603231,0.609062,0.6196,0.629834,0.639833,0.63808,0.647646,0.656994,0.666142,0.670775,0.679656,0.688408,0.69704,0.705608,0.714122,0.722591,-0.592328,-0.981466,-1.68652,-0.858436,-0.729795,-0.623929,-0.533912,-0.45683,-0.390196,-0.308243,-0.256202,-0.214902,-0.181586,-0.125692,-0.103104,-0.0825344,-0.064725,-0.041144,-0.0268617,-0.0136434,-0.00141028,-0.00332573,0.00760556,0.0181669,0.0284393,-0.108689,-0.0976711,-0.0873196,-0.0778362,-0.166998,-0.154829,0.191915,0.161919,0.119832
J-302,3.22681,3.20728,3.18752,3.16754,3.13111,3.11107,3.09096,3.10221,3.09126,3.0888,3.08555,3.0815,3.07675,3.07132,3.06525,3.0586,3.06225,3.05442,3.04615,1.67092,1.60185,1.5581,1.11417,1.11753,1.29701,1.29957,1.3023,1.30563,1.41033,1.40751,1.42861,1.45246,1.77156,1.78907,1.80625,1.82281,1.93644,1.95066,1.9644,1.97763,2.03058,2.0426,2.05428,2.06561,2.07661,2.0873,2.0977,2.10783,2.09815,2.10798,2.11754,2.12687,2.08595,2.095,2.10381,2.11243,2.1021,2.11047,2.1187,2.12682,2.13485,2.14283,2.15076,2.15866,0.126367,-0.442656,0.624423,0.755405,0.924383,1.01636,1.09599,1.16328,1.34838,1.40219,1.44498,1.47952,1.65901,1.68249,1.70378,1.72207,1.77965,1.79433,1.80782,1.82032,1.76379,1.77512,1.78606,1.79669,1.10912,1.12146,1.13321,1.14414,0.732259,0.745638,1.05529,1.02403,0.866666
J-303,3.49689,3.47254,3.44778,3.42275,3.40882,3.3838,3.35865,3.36915,3.36878,3.36302,3.35641,3.34901,3.34084,3.33197,3.32243,3.31227,3.29461,3.28308,3.27107,1.36144,1.32055,1.30376,1.32446,1.32841,1.51696,1.51977,1.52292,1.52652,1.60741,1.603,1.62359,1.64725,1.94381,1.96088,1.97765,1.99383,2.09859,2.11232,2.12559,2.13833,2.18719,2.19872,2.2099,2.22074,2.23127,2.24149,2.25143,2.26111,2.25276,2.26216,2.27131,2.28022,2.24346,2.25216,2.26062,2.26888,2.25987,2.26789,2.27577,2.28353,2.2912,2.2988,2.30634,0.913276,0.389011,-0.139478,0.796021,0.922362,1.08202,1.17243,1.25026,1.3174,1.48875,1.54109,1.58281,1.61658,1.77928,1.80217,1.823,1.84111,1.89393,1.90845,1.92193,1.93445,1.88565,1.8971,1.9082,1.91899,1.29381,1.30671,1.31898,1.33048,0.936464,0.950223,1.27377,1.24191,1.07306
J-304,0.815486,0.822152,0.828337,0.834092,0.832312,0.837292,0.841907,0.847326,0.849552,0.855346,0.860977,0.866439,0.87172,0.87684,0.881787,0.886579,0.895859,0.900326,0.90463,0.484745,0.653588,0.658457,0.627687,0.628231,0.707391,0.706219,0.706026,0.706257,0.554439,0.481218,0.503598,0.533607,0.701441,0.723088,0.744073,0.764046,0.831365,0.848175,0.864196,0.879461,0.91411,0.927779,0.940936,0.953607,0.965819,0.977619,0.989041,1.00011,1.00106,1.0117,1.02201,1.03202,1.01728,1.02687,1.03618,1.04527,1.04502,1.05379,1.06242,1.07092,1.07933,1.08766,0.196874,0.0707162,-0.579694,-0.912669,-0.250195,-0.1461,-0.0350034,0.0409139,0.107249,0.164981,0.274705,0.318398,0.353312,0.381694,0.479977,0.499774,0.517841,0.534013,0.568555,0.581576,0.59389,0.605323,0.582984,0.593194,0.603117,0.612814,0.296746,0.306607,0.316223,0.325465,0.162785,0.173391,0.457147,0.433615,0.360299
J-305,0.860476,0.867344,0.873739,0.879696,0.878066,0.883263,0.888092,0.893733,0.89608,0.902102,0.907945,0.913614,0.919122,0.924436,0.929578,0.934563,0.944023,0.948656,0.95314,0.545258,0.704781,0.709993,0.684247,0.685157,0.765055,0.764336,0.764512,0.765139,0.617518,0.564889,0.587645,0.616211,0.785342,0.806081,0.826224,0.845455,0.912668,0.928939,0.944485,0.95934,0.993961,1.00732,1.0202,1.03263,1.04463,1.05624,1.06748,1.0784,1.07903,1.08955,1.09973,1.10965,1.09433,1.10382,1.11305,1.12208,1.1216,1.13032,1.13889,1.14732,1.15567,1.16395,1.17218,0.101722,-0.567764,-0.932227,-0.226005,-0.117024,-0.00216538,0.0770882,0.14597,0.206101,0.317839,0.363436,0.399809,0.429317,0.525788,0.54625,0.564889,0.581474,0.615737,0.629058,0.641615,0.653267,0.632033,0.642449,0.652556,0.662429,0.344613,0.354864,0.364793,0.374313,0.211123,0.222151,0.521681,0.496201,0.422046
J-306,0.363577,0.364712,0.365992,0.36745,0.370133,0.371907,0.373863,0.354513,0.363555,0.371566,0.378962,0.3858,0.392134,0.398005,0.403442,0.408506,0.412667,0.417237,0.421509,0.459014,0.459047,0.458601,0.317811,0.318414,0.35003,0.350165,0.35098,0.352483,0.130729,0.127895,0.150217,0.175503,0.261072,0.280126,0.298719,0.316581,0.352769,0.368277,0.383215,0.39756,0.419147,0.432267,0.44497,0.45729,0.469235,0.480827,0.492108,0.503088,0.510091,0.520712,0.531027,0.541098,0.541838,0.551453,0.560835,0.570024,0.575601,0.584503,0.593264,0.601925,0.610505,0.619013,0.62749,-0.664345,-1.16619,-1.77908,-0.942435,-0.817092,-0.718388,-0.629058,-0.552574,-0.485862,-0.413363,-0.361958,-0.321156,-0.28826,-0.242487,-0.219972,-0.199539,-0.181768,-0.160882,-0.146652,-0.133451,-0.121259,-0.118918,-0.108133,-0.0976915,-0.087529,-0.183262,-0.172921,-0.163049,-0.153771,-0.206784,-0.195762,0.148233,0.116328,0.0837717
J-307,0.898004,0.904265,0.910106,0.915441,0.913152,0.917682,0.921829,0.927102,0.928925,0.93444,0.939766,0.944918,0.94988,0.954658,0.959267,0.963678,0.972564,0.976607,0.980474,0.499022,0.649797,0.65472,0.622924,0.623678,0.704728,0.704068,0.704241,0.704913,0.564147,0.534894,0.557518,0.584586,0.754983,0.774996,0.794464,0.813079,0.881433,0.897368,0.912646,0.927275,0.962461,0.97571,0.988512,1.00087,1.01284,1.02444,1.03569,1.04662,1.04691,1.05745,1.06768,1.07763,1.06139,1.07092,1.08021,1.08929,1.08852,1.09729,1.10593,1.11445,1.12288,1.13124,1.13954,0.00101976,-0.671498,-1.06871,-0.31723,-0.20337,-0.0840344,-0.001463,0.0699831,0.132447,0.248912,0.296336,0.334086,0.364642,0.46527,0.486376,0.50556,0.522503,0.55792,0.571498,0.584239,0.596035,0.573389,0.583889,0.594079,0.604008,0.27509,0.285435,0.2954,0.304938,0.139076,0.150173,0.468021,0.440596,0.364938
J-308,0.449502,0.450521,0.452119,0.454226,0.453108,0.455897,0.458838,0.276255,0.294342,0.312146,0.328013,0.342058,0.354446,0.365306,0.374746,0.382934,0.392518,0.39868,0.403884,0.356232,0.363435,0.363925,0.397026,0.398787,0.389133,0.391511,0.394494,0.39809,0.114093,0.110191,0.129418,0.152201,0.230105,0.247728,0.265303,0.282466,0.315662,0.330697,0.345243,0.359274,0.379475,0.392365,0.404891,0.417031,0.428843,0.440327,0.451509,0.462411,0.469764,0.480177,0.490346,0.500305,0.501771,0.511509,0.521001,0.530294,0.536324,0.545349,0.554229,0.562998,0.571686,0.580302,0.588876,-1.54966,-1.83551,-2.63888,-0.993073,-0.873795,-0.782532,-0.69137,-0.611065,-0.542957,-0.487209,-0.434081,-0.391892,-0.357907,-0.326403,-0.302368,-0.281091,-0.263033,-0.244416,-0.229974,-0.216804,-0.204689,-0.197846,-0.18727,-0.176971,-0.166896,-0.187076,-0.178255,-0.168436,-0.158442,-0.110721,-0.101203,0.151378,0.107948,0.0798921
